asn,cc,name,cone,unsigned_customers,impact_score
6939,US,Hurricane Electric LLC,80006,31566,2525469396
3356,US,Lumen (Level 3),73731,28159,2076191229
174,US,"Cogent Communications, LLC",73560,24750,1820610000
1299,SE,Arelion (fka. Telia Carrier),71086,25366,1803167476
6461,US,Zayo Bandwidth,71623,23079,1652987217
3257,US,GTT Communications Inc.,68432,24021,1643805072
2914,US,"NTT America, Inc.",68563,21786,1493713518
4637,HK,Telstra International Limited,66936,22262,1490129232
6762,IT,Telecom Italia Sparkle (Seabone),64955,22137,1437908835
6453,US,TATA Communications (America) Inc,67382,21301,1435303982
3491,HK,PCCW Global (HK) Ltd.,66961,20627,1381204547
3320,DE,Deutsche Telekom AG,66965,18789,1258205385
5511,FR,Orange S.A.,56686,20587,1166994682
12956,ES,Telxius (Telefonica Global),59644,19257,1148564508
1273,EU,Vodafone Group PLC,56947,19486,1109669242
6830,NL,Liberty Global Europe Holding B.V.,56800,19011,1079824800
4134,CN,China Telecom Backbone,50788,17882,908191016
701,US,Verizon Business,66715,12317,821728655
9002,GB,RETN Limited,46326,16676,772532376
4837,CN,China Unicom Backbone,48116,11942,574601272
4809,CN,China Telecom Next Generation Carrier Network,64883,8025,520686075
7018,US,"AT&T Enterprises, LLC",67122,4239,284530158
33891,DE,Core-Backbone GmbH,36364,6665,242366060
20485,RU,TransTeleCom JSC,34017,6692,227641764
34927,CH,iFog GmbH,34017,6412,218117004
7922,US,"Comcast Cable Communications, LLC",24720,6457,159617040
3216,RU,Vimpelcom PJSC,26727,4485,119870595
20473,US,"The Constant Company, LLC",20592,3581,73739952
15830,NL,"Equinix, Inc.",15000,2627,39405000
12389,RU,Rostelecom PJSC,12968,2638,34209584
7713,ID,PT Telkom Indonesia Tbk,3221,9086,29266006
38255,CN,China Education and Research Network (CERNET),4183,4182,17493306
52468,PA,UFINET PANAMA S.A.,5643,2420,13656060
9498,IN,Bharti Airtel Ltd.,6974,1572,10963128
3303,CH,Swisscom (Schweiz) AG,8966,1209,10839894
208972,TR,GIBIRNet Iletisim,8210,1272,10443120
8218,FR,Zayo Europe,9085,1064,9666440
7575,AU,Australian Academic and Research Network (AARNet),8237,1166,9604342
8220,GB,COLT,6289,1206,7584534
8359,RU,MTS PJSC,4789,1023,4899147
31133,RU,MegaFon PJSC,3149,1256,3955144
32787,US,Akamai (Prolexic),3535,895,3163825
58057,CH,Securebit AG,4502,579,2606658
13030,CH,Init7 (Switzerland) Ltd.,5181,469,2429889
1103,NL,SURF B.V.,6347,364,2310308
16735,BR,Algar Telecom,1979,1163,2301577
22652,CA,Videotron Ltee,3634,527,1915118
852,CA,TELUS Communications Inc.,2202,781,1719762
29075,FR,IELO-LIAZO SERVICES SAS,4143,379,1570197
53062,BR,GGNET TELECOMUNICACOES LTDA,1733,898,1556234
4755,IN,TATA Communications (formerly VSNL),2482,609,1511538
30844,GB,Liquid Intelligent Technologies ,556,2459,1367204
9929,CN,China Unicom Industrial Internet Backbone,1603,827,1325681
5405,DE,Inter.link GmbH,2714,416,1129024
46887,US,Zayo (fka. Crown Castle),1182,838,990516
4230,BR,Claro (Embratel),1082,866,937012
57304,RU,RETN Russia,1414,650,919100
9930,MY,TIME dotCom Bhd,3334,266,886844
9304,HK,HGC Global Communications Limited,2406,326,784356
52025,GB,ParadoxNetworks Limited,1785,433,772905
4766,KR,Korea Telecom,1142,669,763998
1031,US,PEER 1031 LLC,1274,538,685412
60068,GB,Datacamp Limited (CDN77 / DataPacket),738,773,570474
9049,RU,"JSC ""ER-Telecom Holding""",951,493,468843
64073,NZ,Vetta Group,1689,267,450963
14789,US,"Cloudflare, Inc.",1197,339,405783
35598,RU,INETCOM CARRIER LLC,893,436,389348
1764,AT,Next Layer Telecommunications,1907,202,385214
13786,US,"Seaborn (Seabras USA, LLC)",894,409,365646
21859,US,Zenlayer Inc,1282,265,339730
42708,SE,Glesys AB,2169,140,303660
23764,HK,China Telecom Global,884,336,297024
61832,BR,Giga+ Empresas,738,399,294462
9318,KR,SK Broadband Co Ltd,560,503,281680
4826,AU,Vocus Connect International Backbone,873,313,273249
8447,AT,A1 Telekom Austria AG,1179,227,267633
12741,PL,Netia SA,720,355,255600
62255,SI,BiMajLink d.o.o.,690,329,227010
3786,KR,LG DACOM Corporation,495,453,224235
137409,AU,GSL Networks Pty LTD,970,207,200790
577,CA,Bell Canada,675,271,182925
10429,BR,Vivo (Telefônica Brasil),435,414,180090
50629,DE,LWLcom GmbH,993,171,169803
9808,CN,China Mobile Backbone,2761,59,162899
61568,BR,ALOO TELECOM - FSF TECNOLOGIA SA,545,298,162410
22773,US,Cox Communications Inc.,527,306,161262
1257,EU,Tele2 Sverige AB,953,168,160104
37662,MU,West Indian Ocean Cable Company (WIOCC),502,277,139054
267613,BR,ELETRONET S.A.,486,276,134136
209,US,Lumen (ex. Qwest),394,333,131202
28917,LT,"Fiord Networks, UAB",543,227,123261
271253,BR,LINK BRASIL TELECOMUNICACOES LTDA,440,277,121880
3223,GB,Voxility LLP,744,158,117552
25091,CH,IP-Max SA,732,151,110532
23520,US,"Columbus Networks USA, Inc.",647,163,105461
6327,CA,Shaw Communications,611,172,105092
3549,US,Lumen (fka. Global Crossing),454,221,100334
212895,DE,Johannes Ernst,437,222,97014
28283,BR,Adyl Telecom,424,223,94552
1221,AU,Telstra Limited,540,160,86400
20804,PL,Exatel S.A.,550,155,85250
4800,ID,PT Aplikanusa Lintasarta,630,132,83160
2497,JP,Internet Initiative Japan Inc.,464,158,73312
136106,ID,PT Mega Akses Persada,726,100,72600
3326,UA,Datagroup PJSC,419,169,70811
50509,RU,Transroute.Net,377,185,69745
29535,PL,Orange Polska Spolka Akcyjna,425,149,63325
7029,US,Uniti (fka. Windstream),329,192,63168
5617,PL,Orange Polska Spolka Akcyjna,383,159,60897
54004,US,Cablevision Lightpath LLC,417,136,56712
2764,AU,AAPT Limited,344,160,55040
50607,PL,Stowarzyszenie e-Poludnie,404,133,53732
17676,JP,SoftBank Corp.,439,121,53119
19551,US,Incapsula Inc,315,167,52605
22381,BR,SAMM (Megatelecom),292,163,47596
9583,IN,Sify Limited,571,81,46251
23947,ID,PT Mora Telematika Indonesia Tbk,504,89,44856
33491,US,"Comcast Cable Communications, LLC",277,155,42935
29076,RU,Citytelecom LLC,316,134,42344
29226,RU,MasterTel,246,172,42312
52965,BR,1Telecom,290,142,41180
5650,US,Verizon (fka. Frontier),248,158,39184
11432,BR,Telium Telecomunicações Ltda,240,162,38880
812,CA,Rogers Communications Canada Inc.,235,161,37835
10796,US,Charter Communications Inc,246,153,37638
7474,AU,SingTel Optus Pty Ltd,283,124,35092
12912,PL,T-Mobile Polska S.A.,260,132,34320
264409,BR,Huge Networks,288,119,34272
43298,RU,Storm Networks LLC,326,105,34230
49915,GB,Megaport (UK) Limited,327,103,33681
28368,BR,Wirelink (Sobralnet),208,156,32448
2516,JP,KDDI Corporation,262,123,32226
3255,UA,Ukrainian Academic and Research Network,263,122,32086
62081,PL,Stowarzyszenie e-Poludnie,279,112,31248
6204,RO,INTERKVM HOST SRL,366,84,30744
138840,ID,PT Parsaoran Global Datatrans,436,70,30520
54994,CA,Meteverse Limited,295,103,30385
8732,RU,JSC Comcor,204,148,30192
16276,FR,OVH SAS,522,57,29754
7473,SG,Singapore Telecommunications Ltd,284,103,29252
11537,US,Internet2,428,68,29104
35297,UA,Dataline LLC,317,90,28530
23106,BR,American Tower Brasil,231,123,28413
53087,BR,TELY Ltda.,227,125,28375
13237,DE,euNetworks GmbH,297,95,28215
13536,US,"FirstLight Networks, LLC",212,133,28196
11164,US,Internet2 I2PX,226,123,27798
263009,BR,FORTE TELECOM LTDA.,232,116,26912
34872,BE,Servperso Systems,252,105,26460
6730,CH,Sunrise GmbH,269,98,26362
4657,SG,StarHub Ltd,195,134,26130
20940,NL,Akamai International B.V.,267,93,24831
52925,BR,Ascenty Data Centers e Telecomunicações S/A,180,137,24660
12874,IT,Fastweb SpA,229,107,24503
15164,US,Segra (Unite),177,132,23364
139341,SG,WeChat/QQ CDN,277,83,22991
53181,BR,K2 Telecom e Multimidia LTDA ME,221,104,22984
37282,NG,MainOne Cable Company Nigeria Limited,179,128,22912
198949,IL,Radware,206,111,22866
55410,IN,Vodafone Idea Ltd,374,61,22814
147094,ID,PT Mitra Visioner Pratama,490,46,22540
28146,BR,MHNET TELECOM,188,118,22184
1828,US,PacketFabric / Unitas Global,178,117,20826
702,US,Verizon Business - EMEA,184,113,20792
13649,US,Flexential Colorado Corp.,161,128,20608
262663,BR,METROFLEX TELECOMUNICACOES LTDA,202,102,20604
55836,IN,Reliance Jio Infocomm Limited,335,61,20435
12552,SE,GlobalConnect (IP-Only),243,84,20412
20115,US,Spectrum (Charter),183,110,20130
8641,RU,"LLC ""Nauka-Svyaz""",197,102,20094
45820,IN,Tata Teleservices ISP,365,55,20075
265269,BR,MEGA TELE INFORMATICA,184,109,20056
263903,BR,INFORBARRA TELECOM,195,102,19890
7303,AR,Telecom Argentina S.A.,295,67,19765
44324,US,MoeDove LLC,169,116,19604
31027,DK,GlobalConnect A/S,236,80,18880
3269,IT,TIM S.p.A. (fka. Telecom Italia S.p.A.),177,106,18762
201706,RU,SERVICEPIPE LLC,182,99,18018
28598,BR,MOB,184,97,17848
53667,US,FranTech Solutions,183,96,17568
269194,BR,ST1 INTERNET,171,101,17271
7049,AR,Silica Networks Argentina S.A.,348,49,17052
60171,ES,AFR-IX TELECOM S.A.,204,83,16932
9121,TR,Turk Telekom,483,35,16905
32098,US,Flō Networks (Transtelco Inc.),191,88,16808
20001,US,Charter Communications Inc,155,108,16740
35320,UA,Eurotranstelecom Ltd,203,82,16646
21574,BR,Century Telecom Ltda,164,101,16564
11404,US,Astound (fka. Wave Broadband),167,98,16366
7015,US,"Comcast Cable Communications, LLC",170,95,16150
21949,CA,Beanfield Technologies Inc.,161,98,15778
11427,US,Charter Communications Inc,151,102,15402
269096,BR,NORTH TECNOLOGIA,171,89,15219
8881,DE,1&1 Versatel GmbH,208,73,15184
40264,US,Charter Communications LLC,143,105,15015
24785,NL,Joint Transit (Broadband Hosting B.V.),317,47,14899
24429,CN,Alibaba Cloud,247,60,14820
8708,RO,DIGI ROMANIA S.A.,459,32,14688
23005,US,"SWITCH, LTD",140,102,14280
2856,GB,British Telecommunications,154,91,14014
15694,PL,Atman Sp. z o.o.,153,90,13770
29119,ES,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,317,43,13631
18229,IN,CtrlS,584,23,13432
7717,ID,OpenIXP Route Servers,195,68,13260
52573,BR,Une Telecom Ltda,147,90,13230
20055,US,Ziply Fiber,175,74,12950
33667,US,"Comcast Cable Communications, LLC",133,97,12901
2152,US,CENIC - CalREN,123,103,12669
199995,UA,Omega Telecom LLC,196,64,12544
1820,US,WNET TELECOM USA Corp.,163,76,12388
59796,SK,StormWall s.r.o.,258,48,12384
33287,US,"Comcast Cable Communications, LLC",137,88,12056
11664,AR,Techtel LMDS Comunicaciones Interactivas S.A.,197,61,12017
33651,US,"Comcast Cable Communications, LLC",140,85,11900
9299,PH,PLDT (Philippine Long Distance Telephone Company),215,55,11825
35661,FR,VIRTUA SYSTEMS SAS,242,48,11616
33657,US,"Comcast Cable Communications, LLC",137,83,11371
13760,US,Uniti Fiber Holdings Inc.,133,85,11305
36236,US,"NetActuate, Inc",191,59,11269
17378,US,"TierPoint, LLC",129,87,11223
12302,RO,Vodafone Romania S.A.,215,52,11180
6663,RO,Türk Telekom International,218,50,10900
1680,IL,Cellcom Fixed Line Communication L.P,167,65,10855
8151,MX,Telmex (Uninet),121,88,10648
38195,AU,Superloop,200,53,10600
9009,RO,M247 Europe SRL,172,58,9976
37271,ZA,Workonline Communications(Pty) Ltd,169,59,9971
206499,GB,LOCIX LIMITED,351,28,9828
34984,TR,Superonline Iletisim Hizmetleri A.S.,348,28,9744
7016,US,"Comcast Cable Communications, LLC",116,84,9744
32097,US,"WholeSale Internet, Inc.",210,46,9660
20205,US,"Amplex Electric, Inc.",182,53,9646
38158,ID,PT Cyberindo Aditama,310,31,9610
